Term / kata,business,entertainment,politics
said,151,257,100
us,96,8,37
bn,93,12,2
year,89,46,73
market,59,13,2
firm,58,6,1
mr,57,196,20
compani,55,8,11
share,45,1,6
rise,45,1,2
govern,44,60,26
last,43,21,34
rate,42,5,8
economi,42,3,0
would,41,99,35
growth,41,1,1
price,41,0,0
bank,40,3,1
sale,39,1,15
also,38,54,50
new,38,45,54
month,36,12,6
econom,36,5,0
could,34,45,13
product,33,2,11
busi,32,17,2
may,31,24,10
cut,31,13,3
oil,29,0,1
group,28,21,13
analyst,27,1,1
report,26,34,9
countri,26,32,9
trade,26,12,2
howev,26,8,7
offer,26,7,4
yuko,26,0,0
need,25,24,8
increas,25,7,0
dollar,25,0,2
fall,24,2,5
stock,24,2,0
demand,24,1,2
one,23,31,55
time,23,31,21
news,23,25,4
interest,23,6,2
court,23,6,1
back,22,26,11
continu,22,11,8
sinc,22,10,10
state,22,9,11
tax,22,9,7
quarter,22,3,2
insur,22,0,0
gm,22,0,0
say,21,89,11
expect,21,15,12
three,21,6,20
two,20,20,26
world,20,9,5
china,20,9,0
debt,20,7,0
europ,20,4,3
export,20,3,1
make,19,36,23
claim,19,26,0
mani,19,16,16
face,19,15,4
put,19,14,11
level,19,8,2
figur,19,4,4
financi,19,3,3
lse,19,0,0
case,18,22,3
come,18,16,11
move,18,11,22
european,18,7,6
target,18,4,1
declin,18,1,3
profit,18,1,1
euro,18,0,0
gener,17,28,6
recent,17,15,8
much,17,13,10
million,17,12,15
unit,17,3,3
budget,17,2,3
german,17,1,3
fell,17,0,4
japan,17,0,2
lisbon,17,0,0
told,16,46,13
part,16,15,11
hous,16,14,11
meet,16,13,3
club,16,8,2
spend,16,5,9
competit,16,0,5
sharehold,16,0,0
servic,15,21,4
first,15,20,32
polici,15,16,0
includ,15,15,48
london,15,9,19
job,15,7,6
accord,15,6,7
high,15,6,1
invest,15,3,4
decemb,15,3,2
biggest,15,1,7
less,15,1,4
exchang,15,1,1
go,14,38,25
call,14,33,15
nation,14,26,9
like,14,19,21
remain,14,12,13
forc,14,10,1
hold,14,10,1
hit,14,6,27
fund,14,6,19
fear,14,5,1
bid,14,1,1
telecom,14,0,0
peopl,13,80,26
plan,13,34,6
problem,13,26,9
tri,13,11,7
close,13,8,9
secur,13,7,2
deal,13,6,6
record,13,5,29
money,13,5,9
drug,13,5,2
presid,13,3,5
strong,13,3,3
higher,13,1,0
orang,13,0,4
low,13,0,1
economist,13,0,0
crude,13,0,0
tobacco,13,0,0
deficit,13,0,0
deutsch,13,0,0
boers,13,0,0
minist,12,64,0
public,12,41,11
take,12,22,21
ad,12,20,15
look,12,14,7
still,12,13,8
talk,12,13,3
union,12,13,0
well,12,9,18
eu,12,8,0
agre,12,7,5
import,12,6,10
grow,12,5,1
india,12,4,7
industri,12,3,13
januari,12,1,10
februari,12,1,8
administr,12,1,1
manufactur,12,0,0
ukrain,12,0,0
corp,12,0,0
euronext,12,0,0
use,11,38,8
decis,11,19,2
week,11,18,16
even,11,17,8
list,11,13,4
foreign,11,13,1
show,11,12,47
fox,11,12,7
set,11,11,10
action,11,11,4
seen,11,10,8
warn,11,10,2
control,11,10,2
offici,11,10,1
announc,11,9,6
due,11,8,8
global,11,6,0
valu,11,5,3
past,11,5,2
rais,11,4,3
approv,11,4,0
half,11,3,4
cost,11,3,2
franc,11,3,2
largest,11,3,0
annual,11,3,0
rose,11,1,6
sell,11,1,3
consum,11,1,0
car,11,0,5
project,11,0,4
domest,11,0,0
revenu,11,0,0
russian,11,0,0
polit,10,35,1
law,10,30,6
made,10,19,14
becom,10,15,21
current,10,15,4
concern,10,14,1
four,10,10,7
research,10,9,1
chief,10,7,4
despit,10,5,2
earlier,10,4,2
sector,10,4,2
